zipcode,Number of Returns,Number of Exemptions,NUMDEP,ELDERLY,Salaries and wages amount
21111,2480,4890,1420,860,222738
21113,16940,31380,9680,2970,1088053
21114,12810,25330,8590,2500,901872
21117,28090,51580,17030,5580,1663700
21120,3550,7210,2230,1090,291328
21122,30610,57870,16990,6980,1811235
21128,6980,14050,4500,1860,492557
21131,3710,7750,2430,1220,406409
21132,1340,2630,740,340,74315
21133,15160,27350,9540,3600,645492
21136,17200,33380,11070,4080,1093268
21140,1790,3520,1000,560,136985
21144,17190,33590,10970,3380,1060942
21146,13210,27890,9330,3910,1173721
21152,2950,5600,1730,810,240988
21153,440,800,240,140,58195
21154,3060,5930,1660,860,171002
21155,1230,2280,590,400,74137
21156,210,350,80,80,9935
21157,17890,33660,9640,4830,965516
21158,10420,20120,5960,2900,571856
21160,1190,2270,630,300,59515
21161,2650,5090,1350,800,159310
21162,2240,4620,1530,540,136744
21163,3430,7160,2260,1070,278025
21201,7710,10940,2660,840,319768
21202,8260,12030,3080,1040,393602
21204,8150,14380,3930,2810,720166
21205,5850,11580,5200,750,130807
21206,23240,42800,16430,4260,804641
21207,23340,41230,14700,5660,801384
21208,17080,30880,9250,6360,913712
21209,12420,25320,8540,3720,805120
21210,5450,9470,2270,2010,548381
21211,8790,13150,2500,1470,435024
21212,14180,27500,9470,3610,1013273
21213,12320,23320,10330,2160,333295
21214,9160,16390,5350,2010,388095
21215,22980,43490,17690,5560,664288
21216,11570,21380,9180,2290,295769
21217,12080,21650,8800,1960,390075
21218,18660,30930,10060,3860,752665
21219,4640,8570,2510,1310,224009
21220,20050,37460,12390,4220,859089
21221,20310,37540,12630,4490,776049
21222,26290,48990,16720,5580,917865
21223,8350,16220,7300,1110,193371
21224,25960,44170,13640,2960,1279094
21225,13720,26860,10950,2260,418872
21226,3150,5970,2060,490,143453
21227,16610,31080,10510,3130,664911
21228,24380,45050,13150,7580,1268352
21229,20330,36430,13730,4040,673021
21230,17510,27320,6850,2150,1105452
21231,8150,12340,2990,830,501275
21234,35270,61500,18070,9170,1456533
21236,20230,37000,11060,4970,971047
21237,15400,28190,9220,3320,658283
21239,13680,23640,8410,3220,478859
21244,18180,33150,12030,3320,710330
21286,9390,16560,4400,3120,564229
21401,20610,35580,9230,6670,1275799
21402,520,1040,390,30,23818
21403,16880,30000,8630,4640,1088688
21405,290,570,140,130,27171
21409,9810,19380,6090,2730,716909
21502,16470,30090,8510,4770,569578
21520,960,1840,530,260,34253
21521,540,970,260,150,18021
21523,130,260,70,40,3968
21524,220,380,80,70,6265
21529,340,630,160,90,12202
21530,690,1310,350,220,24743
21531,1010,1930,530,260,34347
21532,5620,10250,2790,1480,209599
21536,1830,3400,960,470,62873
21538,270,510,130,60,8661
21539,1140,2140,650,280,36122
21541,770,1330,320,240,27428
21543,120,200,50,40,4120
21545,870,1620,430,230,29546
21550,6290,11730,3190,1820,206769
21555,730,1410,390,200,24638
21557,800,1550,430,220,28532
21561,1130,2130,510,410,40606
21562,1210,2390,730,330,40403
21601,11950,21700,6130,4170,525538
21607,220,420,130,50,8193
21610,170,320,80,70,6401
21612,220,400,90,110,7354
21613,8170,14900,4790,2230,257388
21617,5050,9960,3070,1400,278050
21619,3450,6010,1520,1010,202506
21620,5730,10030,2470,2240,212399
21622,250,440,100,100,6796
21623,920,1900,650,230,42856
21625,1120,2110,600,310,49770
21628,260,470,140,60,8929
21629,4340,8510,2730,1110,179775
21631,1180,2330,680,360,50155
21632,2840,5400,1880,640,86858
21634,340,650,230,70,5723
21635,990,1740,400,330,47891
21636,490,940,280,130,18992
21638,2480,4830,1500,700,151897
21639,2110,4040,1280,420,77662
21640,720,1460,530,130,25541
21643,2780,5360,1820,630,101293
21645,440,830,220,160,17844
21647,170,290,70,70,6556
21649,780,1710,710,110,22653
21650,120,210,50,30,3808
21651,1280,2430,730,330,49213
21654,630,1010,140,370,44527
21655,2360,4460,1290,610,92192
21657,540,1080,330,140,27236
21658,1890,3530,940,620,115157
21659,400,770,220,120,14986
21660,1850,3660,1210,390,75995
21661,1200,2140,550,490,39828
21662,400,660,120,190,27211
21663,1540,2680,530,800,68911
21664,300,590,180,80,10593
21665,120,210,50,50,3191
21666,6350,12150,3580,1650,408043
21667,170,300,60,60,5769
21668,790,1550,510,190,31369
21671,350,640,100,190,12890
21673,1540,2900,850,470,65334
21676,160,240,40,80,5781
21677,220,420,90,80,9471
21678,1070,1930,520,350,39881
21679,250,520,150,100,14668
21701,19450,34120,9330,4770,1084119
21702,21070,40350,13240,4510,1060016
21703,18600,35570,12120,2940,953553
21704,6940,16210,6300,1220,613711
21705,370,590,180,80,17063
21710,2220,4450,1380,680,158552
21711,480,940,270,140,19099
21713,4570,8820,2520,1220,235389
21714,230,400,110,70,13944
21716,2830,5590,1780,570,148483
21717,180,320,70,50,7450
21718,100,170,40,40,5831
21719,640,1210,380,130,25144
21722,2720,5220,1460,680,116374
21723,390,890,360,80,42956
21727,2110,3940,1170,510,92318
21733,580,1150,330,130,31016
21734,480,790,180,140,16389
21737,930,2230,860,230,124958
21738,1620,3520,1240,460,190241
21740,27480,52110,17360,5680,990952
21742,15570,29460,8930,4320,710857
21750,1620,3100,910,440,55270
21754,3130,6400,2050,810,272960
21755,2780,5500,1560,800,168747
21756,1720,3550,1090,440,98775
21757,1360,2630,750,370,63040
21758,2140,4450,1430,570,125910
21762,250,470,150,70,10370
21766,310,540,130,100,9374
21767,660,1160,320,160,22997
21769,5710,11470,3550,1610,410105
21770,2960,5920,1730,790,208585
21771,15010,30020,9420,3580,1083071
21773,2640,5230,1580,700,166810
21774,6260,13860,4970,1270,514296
21776,2830,5420,1490,750,155431
21777,810,1830,630,160,69288
21778,500,980,270,140,23403
21779,490,880,220,160,24172
21780,790,1480,400,210,34197
21782,1920,3660,990,540,88584
21783,4220,8490,2640,1000,205346
21784,19000,38090,11810,4740,1359671
21787,5110,9780,2820,1450,214454
21788,5850,10830,2970,1570,277792
21791,2450,4760,1360,670,119650
21793,4990,9980,3190,1290,265537
21794,1180,2570,900,300,129821
21795,4640,8580,2400,1370,189249
21797,4460,9010,2890,1160,373477
21798,1190,2290,650,300,65799
21801,12480,23780,8190,3010,524201
21802,530,840,250,150,13734
21804,17180,31350,10090,4130,593085
21811,11810,21020,5160,4710,455726
21813,1500,2750,760,450,65476
21814,160,280,80,60,5231
21817,2030,4000,1340,630,57016
21821,350,660,160,160,9136
21822,1280,2440,770,340,52484
21826,2290,4440,1630,410,87331
21829,240,420,130,70,7159
21830,1990,3880,1200,470,92395
21835,200,370,100,50,6070
21837,1170,2320,740,290,43803
21838,750,1440,460,250,23587
21840,170,320,80,70,5556
21841,440,820,230,100,16701
21842,6510,10020,1860,2210,218011
21849,1530,2790,770,430,59607
21850,1430,2650,790,330,50873
21851,3320,6200,2020,840,110553
21853,3730,7210,2570,910,110660
21856,400,730,200,140,19441
