,population_density,median_household_income,Male,Female,White,Black Or African American,American Indian Or Alaskan Native,Asian,Native Hawaiian & Other Pacific Islander,Other Race,"< $25,000","$25,000-$44,999","$45,000-$59,999","$60,000-$99,999","$100,000-$149,999","$150,000-$199,999","$200,000+",Less Than High School Diploma,High School Graduate,Associate's Degree,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Enrolled In Public School,Enrolled In Private School,Not Enrolled In School,April,August,December,February,January,July,June,March,May,November,October,September,day1,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day2,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day3,day30,day31,day4,day5,day6,day7,day8,day9,year,population
552,17689,78848,18912,19639,12752,19923,160,2734,23,1644,3829,2201,1106,2950,2980,1929,1797,3900,7129,941,7965,4489,2804,846,2745,568,403,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017,8750
554,35981,95369,24484,26644,34316,7741,154,5036,29,1921,3932,2493,1817,4387,3869,2529,5362,3223,8155,1324,13641,8836,4882,1518,2828,2556,435,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,23160
555,11499,47231,12415,10971,19624,1735,94,1158,15,265,4650,2559,1839,3259,1253,624,789,809,4747,737,6922,2862,1142,492,297,174,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,2060
556,2536,56136,9510,8093,10213,1542,2120,1237,638,489,1824,1281,871,1825,944,348,328,1457,5548,916,2063,1065,396,226,1894,141,369,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,570
557,86,38920,6073,6282,10422,1307,19,92,4,240,1762,976,662,902,337,70,75,1497,4762,692,725,438,106,0,2177,250,346,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,4160
558,2648,51742,7078,8012,9826,4031,36,398,20,419,1188,1252,1134,1434,701,211,7,1056,4730,1303,2048,762,111,153,1941,576,308,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,44880
560,478,36929,16418,17624,30134,2827,25,97,6,99,4892,3100,1658,2762,1053,210,103,3699,14833,1924,2428,764,117,111,5656,486,557,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,10590
561,439,47232,16534,18521,19748,11477,236,933,30,1077,3442,2573,1809,3021,1464,361,226,2919,11884,1801,3191,1547,142,228,5908,692,864,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,15420
562,2813,16806,3259,2831,2511,3032,19,31,0,211,1470,453,144,210,40,38,18,890,1954,191,334,371,28,57,919,88,220,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,15570
563,846,48947,667,357,711,270,6,18,0,4,140,108,140,71,86,26,57,19,369,0,261,92,46,28,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,17610
